,apply link,job_role,comapanyjob,company_name,status,location,experiment
22,https://www.naukri.com/job-listings-gnss-software-test-engineer-sr-engineer-qualcomm-technologies-inc-bangalore-bengaluru-1-to-5-years-071222502243,GNSS Software Test Engineer/Sr. Engineer,https://www.naukri.com/qualcomm-jobs-careers-31927,"Qualcomm Technologies, Inc",Not disclosed,Bangalore/Bengaluru,1-5 Yrs
23,https://www.naukri.com/job-listings-gnss-software-test-engineer-sr-engineer-qcom-bangalore-bengaluru-1-to-5-years-071222500473,GNSS Software Test Engineer/Sr. Engineer,https://www.naukri.com/qcom-jobs-careers-123503265,Qcom,Not disclosed,Bangalore/Bengaluru,1-5 Yrs
24,https://www.naukri.com/job-listings-senior-software-engineer-xoom-inc-bangalore-bengaluru-1-to-3-years-051222501102,Senior Software Engineer,https://www.naukri.com/xoom-jobs-careers-123483045,Xoom,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
25,https://www.naukri.com/job-listings-backend-senior-software-engineer-bigbasket-com-bangalore-bengaluru-1-to-3-years-251122500075,Backend Senior Software Engineer,https://www.naukri.com/bigbasket-jobs-careers-1324522,Bigbasket,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
26,https://www.naukri.com/job-listings-senior-software-engineer-talent-zone-consultant-bengaluru-bangalore-1-to-3-years-230120501259,Senior Software Engineer,https://www.naukri.com/talent-zone-consultant-jobs-careers-1108178,Talent Zone Consultant,Not disclosed,Bengaluru,1-3 Yrs
27,https://www.naukri.com/job-listings-senior-software-engineer-ferill-dynamics-bengaluru-bangalore-1-to-4-years-080819503397,Senior Software Engineer,https://www.naukri.com/ferill-dynamics-jobs-careers-4601298,Ferill Dynamics,Not disclosed,Bengaluru,1-4 Yrs
28,https://www.naukri.com/job-listings-software-development-engineer-achnet-inc-bangalore-bengaluru-1-to-4-years-300922501359,Software Development Engineer,https://www.naukri.com/achnet-jobs-careers-7038299,Achnet,Not disclosed,Bangalore/Bengaluru,1-4 Yrs
29,https://www.naukri.com/job-listings-software-engineer-node-js-biofourmis-india-private-limited-bangalore-bengaluru-1-to-6-years-290422501124,Software Engineer ( Node . Js ),https://www.naukri.com/biofourmis-jobs-careers-5618988,Biofourmis,Not disclosed,Bangalore/Bengaluru,1-6 Yrs
30,https://www.naukri.com/job-listings-software-engineer-novella-clinical-inc-kochi-cochin-bangalore-bengaluru-1-to-4-years-090922501281,Software Engineer,https://www.naukri.com/iqvia-biotech-jobs-careers-4139482,Iqvia Biotech,Not disclosed,"Bangalore/Bengaluru, Kochi/Cochin",1-4 Yrs
31,https://www.naukri.com/job-listings-software-engineer-engineering-productivity-google-cloud-google-asia-pacific-pte-ltd-bangalore-bengaluru-1-to-3-years-161222905051,"Software Engineer, Engineering Productivity, Google Cloud",https://www.naukri.com/google-asia-pacific-pte-jobs-careers-7076137,Google Asia Pacific Pte. Ltd,Not disclosed,Bangalore/Bengaluru,1-3 Yrs
